,value
0,109.97830181707033
1,107.36207215871529
2,109.40417802569257
3,105.94252464512273
4,107.05505163082202
5,108.91980948988082
6,118.19926418063994
7,124.71751070075933
8,116.8646715802661
9,118.38412677448135
10,116.57110872546306
11,115.39602915465382
12,115.05834529765858
13,116.2025549265319
14,114.20591354524402
15,116.68509059519322
16,119.7911960658529
17,123.98398504586201
18,133.19787474415415
19,129.60541532122366
20,127.66331946821312
21,126.37566964320516
22,121.72548449619215
23,116.80627138036819
