,value
0,217.19881188163467
1,215.6942977185111
2,214.0722869325825
3,213.29248639182634
4,217.4424002993037
5,215.45697521486414
6,225.42187531022861
7,237.31019375517502
8,239.61564419294785
9,231.94214305436103
10,226.56156552896886
11,226.72593222151522
12,219.95001593666026
13,221.7422513021649
14,217.8256245201864
15,226.52971219969584
16,226.58266505576364
17,229.83994681724712
18,234.37603358536853
19,236.30811658084124
20,237.23246627749057
21,236.79759893267573
22,237.14578953417725
23,235.31482456817258
