,value
0,100.51308689565765
1,100.59273856447213
2,99.57021853772511
3,97.49502159869999
4,97.54382519797647
5,99.22336328791003
6,104.33536619935232
7,107.10650448096706
8,110.41235301936699
9,115.63559585752486
10,117.77723158549229
11,122.80124679468554
12,115.5571190793097
13,112.1294094158213
14,111.184021416242
15,113.49181068831336
16,117.26983737822069
17,115.91918271940021
18,117.38866356269922
19,118.51658179468535
20,117.84336014593785
21,122.00149328786102
22,114.86174266046193
23,110.06336170095832
