,value
0,121.22567102717443
1,115.57710955645666
2,115.27729409970192
3,116.60934484229152
4,116.42436952551911
5,116.65807869944385
6,123.28242938311404
7,133.33199575046777
8,133.0014327270571
9,136.23287210759494
10,127.71932743659308
11,125.61955148093715
12,127.02310040868235
13,125.18321337639752
14,124.62339793882418
15,125.13561675667084
16,125.06674165785175
17,130.3406144343139
18,136.0823747105136
19,138.2736376486763
20,137.89331762452002
21,131.72634581445385
22,128.4381841656019
23,121.26919666244143
