,value
0,215.13266208244283
1,214.51885114352856
2,213.52238968027856
3,211.95136019403236
4,210.66496957796957
5,211.16103743929878
6,208.95767574948917
7,211.82407643721635
8,218.49396755983534
9,222.7389873692868
10,232.4177376028124
11,236.8627529964706
12,238.89273805429107
13,231.5884407777615
14,231.4404144344668
15,232.14410710330787
16,233.18830817739305
17,239.003379293226
18,238.8036448987359
19,240.48687089304278
20,234.50440209953058
21,231.36580985844398
22,223.38043825996297
23,218.9533192243492
