,value
0,116.04308733867734
1,114.13028608117278
2,112.84224244259481
3,113.43049382990237
4,115.07617669855968
5,116.38124099638475
6,120.79418108058198
7,126.51518468874633
8,130.33642825714864
9,126.84814650880305
10,125.68494940079972
11,135.2488532533558
12,135.25678357324992
13,129.73629305690292
14,126.12078340739114
15,130.84823351600767
16,127.54603656736418
17,130.69830404604346
18,133.00242553245022
19,133.48652377782884
20,140.4856000859413
21,133.39548539981718
22,126.47207895157422
23,118.8840446619315
