,value
0,95.68098111506562
1,92.65536678935642
2,94.97661305133198
3,90.95630637424354
4,92.1420189336228
5,92.44432318819545
6,96.43551080412357
7,96.90857659955846
8,98.34861863158913
9,103.12008532446899
10,107.24438852681727
11,106.96722557121436
12,110.99759150408192
13,106.26233255742738
14,102.71166946306413
15,102.33356408405326
16,102.17284386510555
17,100.99861088152267
18,103.79393931765917
19,106.17874715809518
20,104.2067058255664
21,103.77831859578514
22,101.10569586155422
23,101.38724444733207
