,value
0,231.1669988296698
1,230.6251870407047
2,229.61785881386072
3,227.70114796930537
4,227.35306251259587
5,229.8138582290765
6,235.58302451522675
7,246.89126412838738
8,250.8293184813999
9,251.8233352316171
10,250.78929041623527
11,240.93327458051235
12,238.9635821469369
13,232.19103993117102
14,224.24144726722426
15,226.07933903588065
16,230.82644731996965
17,240.25737333710876
18,247.84266026959227
19,253.24558571319838
20,245.65511507961116
21,244.01474193638757
22,241.5286442067679
23,234.95065311448963
