,value
0,162.49335987839459
1,156.6391236101822
2,156.7505634118584
3,158.75587456366821
4,162.44927487955474
5,160.05652791372106
6,162.62547954741194
7,168.11495641281894
8,172.68838149939347
9,176.04922587998323
10,177.67812025528855
11,181.29916165730234
12,185.695927521743
13,179.48471239389193
14,174.4094654406476
15,174.55356506530856
16,178.65269026147786
17,173.77055027535783
18,177.80990385198413
19,176.08899313673544
20,175.19856265280472
21,171.5700976307059
22,169.58632718531183
23,170.2090909996591
