,value
0,220.7278538071974
1,216.78825874486884
2,219.33742734483857
3,220.80682971888731
4,219.7650355992764
5,221.23726662895598
6,230.69653565132043
7,238.70333891939322
8,235.91310768501936
9,240.31544721013023
10,247.46413986276377
11,242.33522752424992
12,239.21744709766898
13,235.98588427304517
14,236.9476763704655
15,243.28361839231755
16,243.63550718701404
17,251.04883212064524
18,258.2105033217889
19,262.17313819921065
20,260.4555083784768
21,256.61220861418985
22,249.85462779916256
23,239.1521227689285
