,value
0,260.57825524180515
1,260.15167732259516
2,258.420237843045
3,257.2430825996168
4,258.7405114017011
5,259.84292599813324
6,265.5614563369231
7,276.72977674127753
8,288.67277581489594
9,286.9071208040449
10,274.7295350051212
11,273.40010297412243
12,271.97811675800324
13,270.1321079825549
14,269.98867796947917
15,271.76292093732246
16,271.1759135967554
17,277.7140243920519
18,281.8310639233302
19,281.99648744363174
20,277.3931169247449
21,271.47993197078773
22,259.0595020104031
23,247.16576606109209
