,value
0,194.3902262044581
1,192.9708210499726
2,191.8507898960433
3,194.07432553102836
4,192.41652339851095
5,192.45458607658645
6,200.02323181917063
7,215.62711106320089
8,215.69352167878785
9,219.17344534106562
10,209.39487704221978
11,203.63686743706495
12,203.64679683017366
13,199.6821189394533
14,198.9910882674708
15,200.45971449273515
16,202.0637568913029
17,209.01961266730814
18,218.9915785300048
19,215.42140566487535
20,211.8732251572411
21,211.42774522190444
22,205.1509039511337
23,193.77490774086687
