,value
0,122.94386483412842
1,122.66445186113054
2,125.76401551741279
3,124.30462300927165
4,125.30440374110557
5,125.86840339767805
6,130.39040051431385
7,129.0161268368629
8,134.58923728491976
9,140.43679482808227
10,141.81835607770535
11,139.67288633203162
12,137.77833903231522
13,130.1692629021718
14,125.94690960130367
15,129.98143795628087
16,132.6817190887586
17,131.86753265772202
18,128.05062200235156
19,130.48930269003694
20,133.77437039742273
21,129.55355160465038
22,127.51846067096623
23,127.40868180113655
