,value
0,136.39581422552226
1,135.79590177718666
2,136.48140805492113
3,132.68291486786248
4,134.7743770569274
5,135.45150618066498
6,137.06879321846495
7,139.11645427305643
8,142.18725336310337
9,146.55832373630287
10,149.02125510109735
11,154.37073616054545
12,150.15688153869039
13,149.27711484068362
14,150.83164401813957
15,149.61390526042626
16,153.5894753666404
17,155.68368502549356
18,159.974075322176
19,152.25068856028835
20,147.798863087188
21,145.63086516858988
22,140.57606876140238
23,140.32642743587311
