,value
0,149.45014984489086
1,148.12073614344638
2,147.6719707633337
3,145.28153152584648
4,147.7242993687546
5,148.9037222683386
6,155.05480399926483
7,156.48583766702225
8,160.07446054195015
9,163.77905878744195
10,168.56205074546298
11,165.31455085940948
12,161.75674183493808
13,154.5072737533208
14,152.37943447311702
15,152.36739235011214
16,157.1888282195607
17,162.31991116912454
18,157.9655199531912
19,155.94429506430117
20,151.53292208739296
21,148.84311070182105
22,146.47758294022876
23,149.86863091051097
