,value
0,245.04553478441576
1,244.31779175871355
2,245.78823459146835
3,243.80939155240864
4,244.4701815066014
5,247.47490047846225
6,249.3143078806683
7,252.0179593285986
8,257.2627186939936
9,266.68721999425566
10,271.72040910847187
11,276.939209480018
12,278.9046771986779
13,273.466324475785
14,268.5065431993731
15,273.53711181833853
16,273.73906137842357
17,279.642573272715
18,280.6275372052625
19,283.1288459540328
20,283.1730585993151
21,276.82743124828744
22,272.10904057217783
23,270.6829329289387
