,value
0,152.0148745003483
1,149.90139590701403
2,148.7044246669886
3,153.48536209079919
4,151.26077007400406
5,154.3001539490425
6,164.96775699090873
7,182.34740663206276
8,177.07570716426528
9,178.21308077738445
10,166.69420453549222
11,163.96394051559113
12,164.66168587851433
13,166.55686603292685
14,166.46927869754128
15,168.1346590853252
16,169.1195779549418
17,174.8104821068675
18,185.50649877734128
19,182.59026838746118
20,177.01017830827482
21,175.850410866137
22,174.17067724124675
23,163.91782192820048
