,value
0,132.82440721784386
1,127.2544721871261
2,125.90628614611437
3,125.20135225367389
4,127.39530572788858
5,124.30311892849461
6,126.98098866622675
7,127.84282824234045
8,134.35561944365585
9,138.75243036899818
10,141.64737421341815
11,145.90273393814908
12,146.03190728866673
13,140.78118326729603
14,138.54288910365477
15,142.37018508448028
16,141.0790617829148
17,147.02662827226288
18,145.90298172543848
19,148.59280031733357
20,146.82002015730774
21,146.09829336481477
22,142.21516994980186
23,133.88949970852664
