,value
0,112.60578423250482
1,110.76642614773546
2,111.00526779098116
3,111.07310416713574
4,114.0151967553727
5,115.08760151702354
6,121.64048397766624
7,133.34327215854742
8,131.69328014216632
9,136.77928266676048
10,143.23256459583234
11,136.76302441724624
12,132.52379266787847
13,128.63044350683074
14,125.55456316819289
15,129.4158069475125
16,131.63562452496873
17,132.33182632296987
18,136.10788668259207
19,141.27263294480264
20,137.62767772459586
21,134.12026436190718
22,126.72101478313563
23,121.53051423360203
