,value
0,158.7288818303535
1,156.23868372110215
2,160.4747943919112
3,160.5863222708606
4,160.2251038099547
5,160.38549374756585
6,164.94965815043278
7,175.08322455151955
8,171.6031659911155
9,165.95779311652248
10,165.17066280261486
11,164.37996750082192
12,165.1952233162192
13,164.21621442320676
14,159.09452305440936
15,165.64176306299797
16,170.95201162415205
17,172.82276305132737
18,175.50922295156047
19,173.5479638711133
20,168.4625852305778
21,160.1345549456093
22,155.0382317742465
23,152.43424421841806
