,value
0,215.65476698825418
1,212.56750775630871
2,211.91281127767735
3,216.20616622867055
4,214.21113422044508
5,214.4590014366009
6,222.93825583968683
7,237.6131786490588
8,229.30790178368298
9,231.65230787260492
10,228.40968870358336
11,229.63954639304833
12,228.55391022748103
13,224.49837708459967
14,221.0632678259678
15,217.88255954801582
16,217.61856172317624
17,224.57288368946786
18,231.75156119879625
19,231.5468264922907
20,229.88649435357496
21,224.99944165479303
22,216.24694080269268
23,207.02137089356893
