,value
0,113.57496505274112
1,111.18364953967122
2,110.5425112487997
3,113.2434458721864
4,112.65251208698685
5,112.9946847030729
6,120.114787273622
7,128.90494499265324
8,128.91563419195867
9,124.89271652581036
10,120.27791762724436
11,119.3603662366725
12,123.2201647445977
13,116.23888813880872
14,115.86689210610729
15,117.09592479803553
16,118.5364135115806
17,124.87605933293554
18,130.61934881404147
19,133.66240720062842
20,128.28411540084133
21,129.7775684753067
22,125.1459659718083
23,115.41183096419954
