,value
0,204.40209829268775
1,203.1671173035354
2,205.8899733840917
3,202.1429709405804
4,200.99758109727895
5,202.10119738942723
6,213.5900478459718
7,220.1112253014145
8,217.3759835236612
9,217.12540694982593
10,218.381028277148
11,212.07225606551305
12,214.0787855102015
13,217.69017686799228
14,217.0890915312036
15,221.88912277887545
16,224.21142946377032
17,226.29211654685636
18,233.8808067081669
19,239.47181513048133
20,234.75174921762783
21,236.3092970354566
22,227.5568419676714
23,221.2073823492609
