,value
0,121.27234875607104
1,122.0432201572096
2,118.27741653470298
3,117.66026940127546
4,117.78822810667135
5,120.92726679404716
6,118.77558399684771
7,118.8431863596788
8,117.95410598822563
9,121.00738740976546
10,121.21642333027216
11,122.25842443639718
12,123.70882016520343
13,118.773514281358
14,116.74532951251156
15,121.75642383274612
16,123.96707479419452
17,122.5467631770783
18,123.82624287043178
19,125.3585153893752
20,128.8227433760199
21,126.1339826697722
22,122.2572458419913
23,119.37285425704007
