,value
0,95.77258720347083
1,94.39863102795644
2,93.108371340667
3,98.31881096626162
4,95.68579987282466
5,99.2757193916627
6,111.61984383831194
7,122.9622029684855
8,119.05071587524048
9,116.6647324836583
10,112.44934422683542
11,108.49679233263493
12,105.8241641786054
13,100.99574327203572
14,101.34123376975482
15,105.59453780533649
16,105.09214855573056
17,109.56037007911992
18,117.59814770060144
19,119.31478348682543
20,122.15644209628894
21,115.2754981260842
22,106.56964718824088
23,98.0888304370598
