,value
0,223.45584836386624
1,220.95480573293665
2,220.00700165809903
3,222.4429256583055
4,226.8086993072087
5,228.5049358995405
6,239.48908454137833
7,257.57569901326076
8,253.78823280273488
9,260.1307332742222
10,256.7283871129611
11,255.2138880691224
12,251.24396231292843
13,247.4573059186302
14,250.07254610955016
15,255.7815456563008
16,259.31480024225147
17,269.09057444386843
18,279.3220550331693
19,282.36460609910176
20,276.6613526226534
21,271.8704110095427
22,265.0881753862015
23,260.40187614776505
