,value
0,254.38024920567645
1,252.80597897135564
2,251.25447440062487
3,249.33127688567217
4,247.49138850125135
5,250.1417864240192
6,259.00999680514184
7,271.3591780563632
8,269.6395340789252
9,269.30432594964174
10,265.7740455848511
11,265.7142538628187
12,264.48037723515256
13,262.5937327941763
14,264.5783585483271
15,267.79489960921273
16,267.1617031354127
17,266.89529553841686
18,268.4743076424222
19,267.5245318659991
20,261.20351336786047
21,250.86605151254756
22,244.8724809682864
23,236.6968524245085
