,value
0,141.1205892128952
1,135.60925202180712
2,136.3070006817831
3,138.01111834728658
4,139.64317249298173
5,135.61935688674717
6,136.39192032102034
7,141.50012795080912
8,143.35904737809085
9,145.56028170512766
10,148.69322034882973
11,152.29637393610471
12,154.56087529795892
13,158.8947915038549
14,155.86784912983236
15,153.9834733566513
16,160.43145228010616
17,160.13671353406383
18,156.21264660322737
19,155.1970602634321
20,153.23071212075604
21,148.85387179445664
22,143.36895018167775
23,137.5665162007311
