,value
0,123.91030616675596
1,123.91516930485584
2,124.62862604710428
3,122.074465908393
4,121.89509392581186
5,122.65525766580072
6,133.46158914095182
7,143.84232201004946
8,136.23108296860917
9,139.602653039572
10,144.31101075517054
11,134.92372170409317
12,134.24990244160935
13,132.17767738030736
14,128.8442713598887
15,127.07085815824117
16,133.260205699894
17,136.9950590565673
18,141.6282771295011
19,143.46850947292566
20,142.32346548470437
21,145.37711439542971
22,133.017909937092
23,125.5282888799531
