,value
0,142.2022790437334
1,140.3197093188525
2,141.127141839933
3,144.02404103778113
4,141.14837465325394
5,140.34841883364152
6,137.26330106271968
7,140.412734331026
8,138.866387678069
9,143.6279261216181
10,149.3570463961864
11,153.284557953168
12,153.838905692273
13,154.58644068466094
14,152.78708360633914
15,152.56099674492813
16,154.37998916871413
17,153.2414611673257
18,152.0686664913886
19,150.8424513792402
20,152.2969970692318
21,147.1880830970376
22,144.92556221783047
23,140.1610682791448
