,value
0,104.57533923454946
1,101.3588043429231
2,102.39905215783388
3,105.6749408038471
4,107.43683433088322
5,106.82752786656654
6,113.09889366691918
7,118.84985932426105
8,118.1495623777368
9,118.3528888456906
10,117.24624416513812
11,114.33782729782956
12,113.38259331167455
13,113.50431833908588
14,114.59389358414784
15,109.8732507652203
16,115.60570684026447
17,114.9313344149826
18,117.9251750819815
19,117.9313374490518
20,120.82206579677216
21,123.8938364590542
22,115.28322353796656
23,108.69542107602751
