,value
0,296.928936015551
1,293.4788731649664
2,291.93862159791706
3,293.9226942095152
4,291.44353759646503
5,290.7757135073038
6,291.8958621072044
7,293.1769951827257
8,294.45110268269957
9,297.7863685186072
10,302.77687052868475
11,306.77224549757193
12,304.24460105086445
13,304.79455584111054
14,300.83604778416566
15,298.7952678039649
16,299.1441962011153
17,299.82358571776064
18,297.13908533551665
19,298.1783003419193
20,291.96465289244094
21,290.1794723591851
22,285.4893691168439
23,281.6624223232043
