,value
0,273.7373985338068
1,272.05250349556314
2,270.1003350242904
3,269.1579144385417
4,267.74337299555714
5,268.18749235821514
6,275.5492016644524
7,287.24751624233363
8,298.5201254619855
9,290.7174109253441
10,297.2267496131725
11,312.8600847286879
12,303.8440301407485
13,298.68845916266076
14,298.4832660233728
15,303.96933023517244
16,305.1466429560771
17,311.1064929510975
18,316.40579498767096
19,317.56863108767567
20,318.41264802514553
21,310.3886379481
22,306.7136928538251
23,298.7161570456154
