,value
0,224.4088442119508
1,224.3234194598768
2,224.70402299431856
3,224.39023464048236
4,225.14574392763316
5,230.10419614975223
6,235.96484475356743
7,247.8488482245636
8,247.06984824923617
9,249.63713134292271
10,243.915215452961
11,244.42223033956648
12,243.18201275763303
13,242.74068478817085
14,238.81970845649693
15,241.18562669208097
16,242.94843440614451
17,247.24818681783552
18,254.69670389509488
19,257.2092663914676
20,254.574609542544
21,250.4420204416332
22,241.08394851566177
23,232.2055192115579
