,value
0,121.71134278813508
1,117.92693636584166
2,115.32614512008716
3,116.4990234878887
4,115.71909445533002
5,120.9675339676064
6,121.95399570689364
7,126.9159725195134
8,123.49120634639026
9,122.47463449192573
10,118.84037704517566
11,118.69203191212466
12,118.02619688334671
13,124.55910284593584
14,129.5395066461368
15,124.04660405060692
16,125.9429416908699
17,133.0017247474796
18,133.56065263184576
19,137.46859391408884
20,137.10882174696025
21,130.26244667957386
22,123.44585213956546
23,124.72639276729842
