,value
0,109.51353508094684
1,107.69190469478886
2,106.41124831255544
3,107.18634082258129
4,106.32162383308426
5,106.22963564685328
6,109.42585584768872
7,107.16869935104197
8,109.6661699042974
9,111.71651155722982
10,117.73281337374527
11,118.24736836611284
12,118.61302562594548
13,116.51043774423732
14,115.71592873506208
15,118.337888502181
16,116.0547160135866
17,117.90202724802992
18,121.28091876941768
19,121.21709951773836
20,119.9769374066052
21,117.64599652859243
22,115.91671725545488
23,108.33884133844784
