,value
0,188.0890917365357
1,186.08414578342305
2,185.73638480065492
3,189.1126685535205
4,184.17257943629448
5,182.8622167459324
6,191.095758225805
7,204.29049939173953
8,200.83315230076985
9,200.23938258159575
10,194.49858545942152
11,189.30510155073384
12,185.52785325878995
13,183.01553611064116
14,179.45961725880167
15,181.41556576616736
16,181.92499237780348
17,192.07135446192825
18,197.591686758221
19,199.87516928978437
20,201.98814479473313
21,196.85001112082173
22,186.35424019436408
23,178.53351755225623
