,value
0,229.4905078505906
1,227.1563155942915
2,224.0675825275234
3,222.07311505751568
4,219.78452058373432
5,221.63562293024185
6,220.3341861398858
7,221.80772270659136
8,226.0492732032857
9,234.5078515278645
10,242.7631907785884
11,243.71420180826115
12,247.41639071322885
13,242.8755294202596
14,241.65542998248375
15,243.0554936602728
16,244.54286756897437
17,240.9686117920393
18,242.57343427059763
19,242.44261164849863
20,238.88787603544807
21,239.21642644425805
22,233.48125393013447
23,230.38320254653112
