,value
0,99.77108682835204
1,99.6927369749402
2,97.60389626143402
3,100.18354724923748
4,103.56505485632525
5,103.35275274333917
6,112.08081741111688
7,120.62483272234914
8,120.3543953789996
9,118.16204160316092
10,113.82872735233552
11,112.61072355439003
12,112.0996981655222
13,108.77321531509534
14,108.47692175902142
15,106.7929614465543
16,109.39354355419624
17,116.91865439719452
18,120.88715737642856
19,121.69342811199496
20,124.28372901436468
21,119.04161277724384
22,113.2075161283173
23,103.03221646173289
