,value
0,124.79464173316217
1,122.61846378210166
2,124.3496653454068
3,122.51751443250812
4,122.56181356095894
5,124.52996979284418
6,131.10240396328874
7,137.3466160919534
8,134.9649688612805
9,141.7982487443282
10,139.49199487708233
11,132.45063431082394
12,131.96064772074448
13,127.51370325792436
14,126.88825536086254
15,127.6670739874822
16,132.7375916881249
17,134.54917326849647
18,140.18965140830795
19,138.63284877038458
20,135.58648575311486
21,137.8213949411284
22,128.83278223139203
23,123.65868437225296
