,value
0,203.76926221933056
1,200.8524565491096
2,200.8372561127409
3,200.74754879489657
4,200.12137854090585
5,200.04439835722604
6,209.14158694947196
7,218.74170723871444
8,213.3702181907154
9,218.03304371201185
10,215.0304335640023
11,209.98475105640668
12,210.53512490632255
13,212.87785190179443
14,216.42186167921503
15,220.42588249469176
16,223.82402062250165
17,230.92589030064312
18,239.1915661091278
19,238.48857601205037
20,233.1669905945879
21,235.18182203615865
22,226.71657217892485
23,216.24363465929324
