,value
0,240.28818285795023
1,239.47005295630848
2,233.69341622107865
3,232.8738504714062
4,232.9607146149386
5,235.34928768809965
6,243.4264379025019
7,251.34667651012947
8,248.10005206615185
9,256.21430158874193
10,256.1675209087303
11,255.90637023733055
12,254.4046885428208
13,256.15491094581853
14,256.22523015068106
15,253.62852348444343
16,256.40876533107246
17,257.7173157842072
18,254.2527092044837
19,253.9114819758094
20,253.7407435200116
21,246.6909994152132
22,244.44787812064175
23,238.7420040619592
