,value
0,107.70421968154947
1,105.72429319704216
2,104.77905537396325
3,108.11137626169754
4,106.53421554570306
5,107.070792830191
6,110.9920897233332
7,117.27353266266844
8,120.05956998252113
9,119.99309517426984
10,118.76983050489632
11,122.64112425297184
12,122.30541788251104
13,116.88925876855492
14,113.63669477320038
15,113.11482449784704
16,114.53625807738447
17,118.06495091380584
18,127.40479718144526
19,124.58678627945736
20,122.35342529444252
21,123.76873998474116
22,117.20576410394828
23,109.7599387597923
