,value
0,269.8735705854358
1,266.52124848750907
2,265.8384027330085
3,269.4965660308735
4,268.4797628753277
5,270.59700643027696
6,280.90905610584343
7,292.911308642477
8,292.62058661707715
9,298.8326258379109
10,302.08357591292935
11,300.0904986842063
12,294.5831919691457
13,290.6232348191159
14,286.6178713371711
15,289.45358475886115
16,292.554803557131
17,297.6486411910593
18,302.90020798889276
19,308.84198240818495
20,300.36140580283023
21,296.31403797930716
22,292.0190335267271
23,279.61366170054293
