hour,pressure_avg,sensor
0,8.0192056667,Sensor-2
1,7.9545085,Sensor-2
2,7.9602051667,Sensor-2
3,7.9292805,Sensor-2
4,7.8845213333,Sensor-2
5,7.9187008333,Sensor-2
6,7.8894041667,Sensor-2
7,7.8194173333,Sensor-2
8,7.796224,Sensor-2
9,7.7482095,Sensor-2
10,7.6656086667,Sensor-2
11,7.6977538333,Sensor-2
12,7.7640788333,Sensor-2
13,7.8129073333,Sensor-2
14,7.7168783333,Sensor-2
15,7.796631,Sensor-2
16,7.7457683333,Sensor-2
17,7.7396648333,Sensor-2
18,7.7335613333,Sensor-2
19,7.8112795,Sensor-2
20,7.7738443333,Sensor-2
21,7.8108725,Sensor-2
22,7.8308103333,Sensor-2
23,7.9166666667,Sensor-2
0,7.0882161667,Sensor-3
1,7.1907551667,Sensor-3
2,7.1960448333,Sensor-3
3,7.1785481667,Sensor-3
4,7.1459961667,Sensor-3
5,7.0463053333,Sensor-3
6,7.0556643333,Sensor-3
7,6.9201661667,Sensor-3
8,6.9217935,Sensor-3
9,6.8326821667,Sensor-3
10,6.846924,Sensor-3
11,6.8261718333,Sensor-3
12,6.8749998333,Sensor-3
13,6.9547526667,Sensor-3
14,6.9295246667,Sensor-3
15,6.97347,Sensor-3
16,6.9523113333,Sensor-3
17,7.0540365,Sensor-3
18,6.9384766667,Sensor-3
19,6.9807943333,Sensor-3
20,7.014974,Sensor-3
21,6.966553,Sensor-3
22,7.0092775,Sensor-3
23,7.0621745,Sensor-3
0,7.3966473333,Sensor-4
1,7.4418131667,Sensor-4
2,7.4568685,Sensor-4
3,7.4471028333,Sensor-4
4,7.4263508333,Sensor-4
5,7.364502,Sensor-4
6,7.331543,Sensor-4
7,7.2090656667,Sensor-4
8,7.1895346667,Sensor-4
9,7.2163898333,Sensor-4
10,7.1374511667,Sensor-4
11,7.1020506667,Sensor-4
12,7.1866863333,Sensor-4
13,7.3050943333,Sensor-4
14,7.2220866667,Sensor-4
15,7.1781413333,Sensor-4
16,7.2412108333,Sensor-4
17,7.2106935,Sensor-4
18,7.1248373333,Sensor-4
19,7.0739746667,Sensor-4
20,7.2452798333,Sensor-4
21,7.2542318333,Sensor-4
22,7.2477213333,Sensor-4
23,7.3470051667,Sensor-4
0,6.5661621667,Sensor-5
1,6.5372723333,Sensor-5
2,6.584066,Sensor-5
3,6.5140788333,Sensor-5
4,6.579183,Sensor-5
5,6.5681965,Sensor-5
6,6.4729816667,Sensor-5
7,6.4583333333,Sensor-5
8,6.323649,Sensor-5
9,6.4664711667,Sensor-5
10,6.402588,Sensor-5
11,6.4847818333,Sensor-5
12,6.2980143333,Sensor-5
13,6.413981,Sensor-5
14,6.4725748333,Sensor-5
15,6.541341,Sensor-5
16,6.4363608333,Sensor-5
17,6.4798991667,Sensor-5
18,6.4571126667,Sensor-5
19,6.3911946667,Sensor-5
20,6.4904785,Sensor-5
21,6.4860025,Sensor-5
22,6.5063478333,Sensor-5
23,6.4754235,Sensor-5
0,6.474983959746045,Sensor-6
1,6.510449207480893,Sensor-6
2,6.536257151081192,Sensor-6
3,6.492537110500699,Sensor-6
4,6.458484471507453,Sensor-6
5,6.473762771622355,Sensor-6
6,6.359615931912771,Sensor-6
7,6.172644667287204,Sensor-6
8,6.229547007057452,Sensor-6
9,6.147242717922798,Sensor-6
10,6.013189644536166,Sensor-6
11,6.088849973296129,Sensor-6
12,6.122256550917789,Sensor-6
13,6.214035991402157,Sensor-6
14,6.182894678170846,Sensor-6
15,6.169540519069948,Sensor-6
16,6.143800754694332,Sensor-6
17,6.145791875066131,Sensor-6
18,6.133979675983701,Sensor-6
19,6.079945814210806,Sensor-6
20,6.19866480700919,Sensor-6
21,6.2240443174496445,Sensor-6
22,6.278672085255057,Sensor-6
23,6.316637966963942,Sensor-6
0,6.5987141667,Sensor-7
1,6.6935223333,Sensor-7
2,6.6829425,Sensor-7
3,6.7456055,Sensor-7
4,6.6182456667,Sensor-7
5,6.6735841667,Sensor-7
6,6.488851,Sensor-7
7,6.3024901667,Sensor-7
8,6.3236491667,Sensor-7
9,6.2833658333,Sensor-7
10,6.156006,Sensor-7
11,6.2234934286,Sensor-7
12,6.3663736667,Sensor-7
13,6.3130698333,Sensor-7
14,6.3033038333,Sensor-7
15,6.3102216667,Sensor-7
16,6.339925,Sensor-7
17,6.2178548333,Sensor-7
18,6.229248,Sensor-7
19,6.2642416667,Sensor-7
20,6.3419596667,Sensor-7
21,6.374105,Sensor-7
22,6.3623046667,Sensor-7
23,6.4245603333,Sensor-7
0,6.0595703333,Sensor-8
1,6.0791015,Sensor-8
2,6.0827636667,Sensor-8
3,6.0880533333,Sensor-8
4,6.0998535,Sensor-8
5,6.0213218333,Sensor-8
6,6.00708,Sensor-8
7,5.9855143333,Sensor-8
8,6.0026041667,Sensor-8
9,5.9834798333,Sensor-8
10,5.9891763333,Sensor-8
11,5.916748,Sensor-8
12,6.0396323333,Sensor-8
13,5.9989421667,Sensor-8
14,6.020508,Sensor-8
15,6.0253905,Sensor-8
16,5.9802245,Sensor-8
17,6.039632,Sensor-8
18,6.004232,Sensor-8
19,5.9696453333,Sensor-8
20,6.0148113333,Sensor-8
21,5.9932453333,Sensor-8
22,6.0021973333,Sensor-8
23,6.0306803333,Sensor-8
