hour,pressure_avg,sensor
1,5.7010903333,Sensor-1
2,5.5997723333,Sensor-1
3,5.1717123333,Sensor-1
4,5.7124836667,Sensor-1
5,5.4337566667,Sensor-1
6,5.2459716250,Sensor-1
7,5.4768880000,Sensor-1
8,5.3962052857,Sensor-1
9,5.2197267143,Sensor-1
10,5.5216471667,Sensor-1
11,5.3344726667,Sensor-1
12,5.3653971667,Sensor-1
13,5.1277668333,Sensor-1
14,5.3889975000,Sensor-1
15,5.1704915000,Sensor-1
16,5.5883790000,Sensor-1
17,5.1841518571,Sensor-1
18,5.6754558333,Sensor-1
19,5.2966306667,Sensor-1
20,5.6172686667,Sensor-1
21,5.0569660000,Sensor-1
22,5.0524901667,Sensor-1
23,5.5265300000,Sensor-1
24,5.2042645000,Sensor-1
1,6.4355468333,Sensor-2
2,6.8257650000,Sensor-2
3,6.4241536667,Sensor-2
4,6.6235353333,Sensor-2
5,6.5266926667,Sensor-2
6,6.8953450000,Sensor-2
7,6.7053225000,Sensor-2
8,6.4892578333,Sensor-2
9,6.8835448333,Sensor-2
10,6.7130535000,Sensor-2
11,6.4872233333,Sensor-2
12,6.8603515000,Sensor-2
13,6.7252605000,Sensor-2
14,6.6695150000,Sensor-2
15,6.6259766667,Sensor-2
16,6.8005371667,Sensor-2
17,6.6202798333,Sensor-2
18,6.5808106667,Sensor-2
19,6.5840658333,Sensor-2
20,6.7529298333,Sensor-2
21,6.9425456667,Sensor-2
22,6.9738770000,Sensor-2
23,6.8937173333,Sensor-2
24,6.9563801667,Sensor-2
1,5.2510578333,Sensor-3
2,5.1411946667,Sensor-3
3,4.9503581667,Sensor-3
4,4.9271648333,Sensor-3
5,5.0573731667,Sensor-3
6,5.2331541667,Sensor-3
7,4.9043785000,Sensor-3
8,5.1525878333,Sensor-3
9,4.8909503333,Sensor-3
10,5.0805663333,Sensor-3
11,5.4142251667,Sensor-3
12,5.4024253333,Sensor-3
13,4.8767090000,Sensor-3
14,5.3601075000,Sensor-3
15,5.1501465000,Sensor-3
16,5.3816731667,Sensor-3
17,5.4772950000,Sensor-3
18,4.9930828333,Sensor-3
19,5.0467935000,Sensor-3
20,5.4899090000,Sensor-3
21,5.3885905000,Sensor-3
22,5.0195311667,Sensor-3
23,5.2966308333,Sensor-3
24,4.9385580000,Sensor-3
1,5.9077963333,Sensor-4
2,6.2658693333,Sensor-4
3,6.1840821667,Sensor-4
4,5.8793130000,Sensor-4
5,6.1499023333,Sensor-4
6,6.0262045000,Sensor-4
7,5.7869466667,Sensor-4
8,5.9810385000,Sensor-4
9,5.7796223333,Sensor-4
10,6.0209148333,Sensor-4
11,5.8492023333,Sensor-4
12,6.0001628333,Sensor-4
13,6.1494955000,Sensor-4
14,6.2158201667,Sensor-4
15,6.0127768333,Sensor-4
16,5.8015950000,Sensor-4
17,6.3399251667,Sensor-4
18,6.2878418333,Sensor-4
19,5.8972168333,Sensor-4
20,5.8357746667,Sensor-4
21,6.2996420000,Sensor-4
22,6.3773601667,Sensor-4
23,6.2748208333,Sensor-4
24,5.9423830000,Sensor-4
1,5.6148273333,Sensor-5
2,5.7698568333,Sensor-5
3,5.4357911667,Sensor-5
4,5.4728191667,Sensor-5
5,5.5961100000,Sensor-5
6,5.3409831667,Sensor-5
7,5.5623370000,Sensor-5
8,5.7401531667,Sensor-5
9,5.4048665000,Sensor-5
10,5.7373045000,Sensor-5
11,5.7051595000,Sensor-5
12,5.7702638333,Sensor-5
13,5.7092285000,Sensor-5
14,5.4642740000,Sensor-5
15,5.6005860000,Sensor-5
16,5.5887856667,Sensor-5
17,5.4939778333,Sensor-5
18,5.4553223333,Sensor-5
19,5.5529785000,Sensor-5
20,5.6681315000,Sensor-5
21,5.5273436667,Sensor-5
22,5.4785156667,Sensor-5
23,5.5830893333,Sensor-5
24,5.5423990000,Sensor-5
1,4.83884938894604,Sensor-6
2,5.418638705153934,Sensor-6
3,4.839910784167628,Sensor-6
4,4.956948851356724,Sensor-6
5,5.420899304115931,Sensor-6
6,5.201262250108771,Sensor-6
7,5.306924481491879,Sensor-6
8,5.447353827211639,Sensor-6
9,5.0464490130193544,Sensor-6
10,4.9423713934551285,Sensor-6
11,4.938062146642273,Sensor-6
12,5.0061488896896815,Sensor-6
13,5.498519693679049,Sensor-6
14,5.049186135966167,Sensor-6
15,5.256866745660606,Sensor-6
16,5.1711095067947825,Sensor-6
17,5.142353697090132,Sensor-6
18,4.987659710094905,Sensor-6
19,5.160052703531916,Sensor-6
20,5.096371853663898,Sensor-6
21,5.118951758350881,Sensor-6
22,5.5033843124277215,Sensor-6
23,5.326862850192102,Sensor-6
24,5.515684230076528,Sensor-6
25,5.371739328615658,Sensor-6
1,5.1672365000,Sensor-7
2,4.9881998333,Sensor-7
3,5.2705891667,Sensor-7
4,5.0044760000,Sensor-7
5,5.0533038333,Sensor-7
6,5.5509441667,Sensor-7
7,5.2311198333,Sensor-7
8,5.4003906667,Sensor-7
9,5.1066078333,Sensor-7
10,5.5647786667,Sensor-7
11,5.1196290000,Sensor-7
12,5.4744465000,Sensor-7
13,5.2111815000,Sensor-7
14,5.0622558333,Sensor-7
15,4.8563638333,Sensor-7
16,5.3348796667,Sensor-7
17,4.8445638333,Sensor-7
18,5.4878743333,Sensor-7
19,5.3548176667,Sensor-7
20,5.1928710000,Sensor-7
21,5.0496418333,Sensor-7
22,5.4793295000,Sensor-7
23,4.9336751667,Sensor-7
24,4.9983723333,Sensor-7
1,5.5114748333,Sensor-8
2,5.5155436667,Sensor-8
3,5.3959146667,Sensor-8
4,5.5163573333,Sensor-8
5,5.5452473333,Sensor-8
6,5.5049641667,Sensor-8
7,5.3271483333,Sensor-8
8,5.3975423333,Sensor-8
9,5.3076170000,Sensor-8
10,5.3255208333,Sensor-8
11,5.3999836667,Sensor-8
12,5.3877768333,Sensor-8
13,5.3698731667,Sensor-8
14,5.5025226667,Sensor-8
15,5.3564453333,Sensor-8
16,5.3320311667,Sensor-8
17,5.3470866667,Sensor-8
18,5.4500326667,Sensor-8
19,5.2551268333,Sensor-8
20,5.2327475000,Sensor-8
21,5.3853353333,Sensor-8
22,5.2303061667,Sensor-8
23,5.3869630000,Sensor-8
24,5.4931640000,Sensor-8
