,value
1,234.94688678696158
2,230.74270638703672
3,229.17261282557325
4,231.06751673263375
5,231.0703348853196
6,231.28570563920516
7,239.46020837237026
8,252.25625561338146
9,257.94742469080654
10,258.7252926323199
11,250.93823204171622
12,249.31031932474428
13,246.36117103194962
14,242.71631291707837
15,246.08162849757716
16,252.78047433445568
17,262.09067496918937
18,270.7218818409464
19,278.09449420341616
20,285.9181887751005
21,276.8509038941748
22,272.15237170368715
23,267.2317718352951
24,258.33742533597444
