,value
1,271.0890958909335
2,265.1080134873953
3,262.3211940852795
4,263.46623832582736
5,261.5128236976363
6,262.2851176659613
7,273.1865785326935
8,284.88069752480067
9,284.9480054466386
10,286.76780422051974
11,282.863286478342
12,274.1137407949678
13,273.74321668798603
14,273.2550776044782
15,269.3739947914999
16,271.545222892109
17,272.7952150591214
18,276.23921780266875
19,280.8457582324924
20,279.84292648653707
21,276.8357125941039
22,275.5370243921134
23,273.0986033364009
24,260.50417698768337
