,value
1,268.65748977876325
2,268.063743339868
3,263.498578031212
4,262.0869777182248
5,264.05895882639356
6,262.1402297002066
7,273.11197756534733
8,289.51918350066296
9,286.14017462991694
10,286.18608195693264
11,288.38453994030414
12,284.47607000993065
13,281.2924578921026
14,280.5169526828928
15,275.9634553545862
16,276.0734128028063
17,279.1887978122516
18,281.28431889648874
19,284.21161423095145
20,282.6497929808913
21,279.9794013691037
22,274.16678842757295
23,267.3015643305804
24,257.2105787281404
