,value
1,233.34133261457873
2,230.9958630907719
3,228.05793275427544
4,227.982686038333
5,221.8736526963327
6,220.45590749578022
7,226.175426077885
8,222.97772493934923
9,230.75827693695533
10,239.15729422793513
11,243.52279248927724
12,248.70193196373646
13,252.56808189460432
14,250.4661303944471
15,246.96416656021552
16,246.8702001622636
17,250.68899299997463
18,256.4023927607211
19,255.00321985603907
20,254.89459984388773
21,252.77376767546218
22,251.50686720977023
23,244.8233341051578
24,240.20953576681234
