,value
1,229.39639827897662
2,227.21158476027085
3,226.44529685435901
4,221.31734342269752
5,219.72213884334775
6,222.45549355545373
7,227.7330122336853
8,233.22532704859202
9,234.00112203347342
10,235.03504800522262
11,232.193329397552
12,229.2783035500654
13,232.84048808059723
14,231.4593119774242
15,234.20019721901684
16,234.8353126898656
17,241.2669131239849
18,244.61420504926318
19,248.45913343750712
20,249.2187020559677
21,245.60226154851705
22,239.59626047529702
23,238.46187235420857
24,234.14843979914895
