,value
1,244.91959051797957
2,240.0905316734531
3,238.53779754002986
4,239.80229127242816
5,237.09545036878168
6,238.76476260133418
7,248.85274660169034
8,259.0017518481053
9,265.68313027295903
10,271.07420667887294
11,270.4571882687906
12,270.3478059195872
13,270.19569413430503
14,275.3704160114818
15,279.8105365818171
16,285.6844473303998
17,292.7915265204549
18,296.44355557220206
19,299.71446652675814
20,297.8424758897318
21,297.42555529712195
22,288.2359764541101
23,280.4381310075325
24,275.33346951380344
