,value
1,239.09079320882037
2,240.62756900571716
3,236.58952884303872
4,236.09638675049126
5,235.13391780199154
6,237.02413922372233
7,234.66652325469906
8,237.21195492753554
9,244.00552778102744
10,250.51707526403328
11,252.4710627605014
12,256.4421373039998
13,256.4090132600887
14,257.19172494198705
15,254.0094550874105
16,251.35588652484495
17,252.39984921725772
18,253.74816870078791
19,255.2704700783914
20,251.34989687589973
21,251.30752840874857
22,249.6580918828381
23,247.47680477048348
24,242.6815537677311
