,value
1,162.96828616205366
2,160.2844260386643
3,161.0832280267292
4,161.6108573465792
5,162.90699901640818
6,164.39303697362945
7,166.01617546038847
8,170.0533073033561
9,177.13184660809367
10,181.35462109466226
11,187.36849800416434
12,190.09782395426916
13,188.79501212080754
14,187.66589048637465
15,185.6129105123263
16,183.3051297481862
17,183.49227283698303
18,184.45344753428947
19,192.88765879770602
20,196.2307524703402
21,195.8808258077517
22,191.9521655279962
23,190.03873928593174
24,188.78103623373553
