,value
1,238.19138185811238
2,237.81223421701873
3,232.8131104731886
4,231.99887546493048
5,229.64305448008423
6,230.18445785207297
7,229.2355994522536
8,233.8261904246657
9,243.12897868776898
10,246.7094187225343
11,247.37962199824986
12,245.27899150020787
13,241.40018982805776
14,232.94749094708914
15,228.18265851538538
16,227.81263466154664
17,230.7081457134462
18,239.0127627082834
19,239.11533351500088
20,238.62479365785785
21,236.4394598374665
22,232.6964352408599
23,227.83310267318964
24,224.15466063865787
