,value
1,228.2179088678512
2,225.37230878336484
3,226.02584337122397
4,226.44848201208117
5,230.71039670098756
6,229.0623230003511
7,239.06334777213883
8,255.50669313226877
9,258.6606561182925
10,261.34579585942873
11,257.6911550359732
12,244.82720300566993
13,241.03672852340023
14,234.6877822275532
15,232.31016892349882
16,231.3377776484149
17,231.30197685549945
18,238.42075203374606
19,249.78131661986774
20,255.58307164258306
21,250.32565106271198
22,245.4662324823263
23,238.6512270652751
24,231.0875239780691
