,value
1,223.45584836386624
2,220.95480573293662
3,220.00700165809903
4,222.4429256583055
5,226.8086993072087
6,228.5049358995405
7,239.48908454137833
8,257.57569901326076
9,253.78823280273488
10,260.1307332742222
11,256.7283871129611
12,255.2138880691224
13,251.24396231292843
14,247.4573059186302
15,250.07254610955016
16,255.7815456563008
17,259.31480024225147
18,269.09057444386843
19,279.3220550331693
20,282.36460609910176
21,276.6613526226534
22,271.8704110095427
23,265.0881753862015
24,260.40187614776505
