,value
1,151.88466202336556
2,148.49093594117318
3,147.91136723878552
4,150.00786379938643
5,149.10364726396816
6,150.1440267122919
7,158.1109987223613
8,173.10341948278247
9,167.80299598597568
10,168.37630385376664
11,165.05494896274573
12,164.94381153485986
13,161.62655501857682
14,161.5649585477889
15,164.73581040538616
16,163.86742141730224
17,169.2112418229262
18,175.01616032396245
19,181.48388094036292
20,185.38666255387517
21,175.0142842755894
22,172.35117646691913
23,167.27209071457068
24,157.8589352767998
