,value
1,228.20967814848544
2,223.85439154328645
3,222.30044331979926
4,223.3065103383928
5,219.5847382280229
6,219.84021217035004
7,229.235185684017
8,245.12270581344129
9,242.47580349330403
10,247.86117906441723
11,248.71760443893305
12,241.21243358217953
13,238.9009310968338
14,238.8440965995059
15,237.8164324138026
16,241.50998286324852
17,244.935574590539
18,246.57347846305095
19,252.1908221732591
20,255.11453860687482
21,245.39053469769422
22,238.79071521591362
23,233.11525432116628
24,228.8132891491122
