,value
1,164.12689684407894
2,163.44266041665333
3,163.88146000204532
4,161.54940230225031
5,163.5795704461558
6,168.71270786585004
7,176.04889608196734
8,187.21406834509813
9,196.01588215491498
10,208.1114123524905
11,204.93314671795432
12,206.0596203228221
13,208.22481382861406
14,210.81341781862247
15,210.83701817799408
16,217.37562789298013
17,216.78678685964923
18,218.7181837740239
19,223.41536642729454
20,224.8629462457667
21,218.74307999187553
22,213.3629732804499
23,211.60583356266432
24,203.36612879006805
