,value
1,217.92008993543428
2,214.8627751372135
3,211.04973272491432
4,210.48453043364972
5,214.056102490933
6,213.9819715440215
7,224.69262573112871
8,236.68143801167082
9,239.19207361941685
10,238.57545141786562
11,238.3820416655054
12,236.65114802059014
13,231.32796149003443
14,232.70708349810698
15,228.74947530378776
16,231.93546012340417
17,234.80629592850954
18,243.65679845873754
19,254.5617409064335
20,256.3286908679815
21,250.82127430774173
22,248.0732429970474
23,244.7804303403761
24,236.21841080611404
