,value
1,232.75888973690695
2,228.0107738791986
3,228.2833278763943
4,229.66084304293926
5,230.13927914917127
6,230.00736583392276
7,238.99183608281874
8,253.86958679340282
9,255.7427296679628
10,254.0850337160823
11,260.32547008341396
12,254.2620476865721
13,254.24865815181076
14,257.55618636857486
15,251.2882679636142
16,253.21143860843708
17,261.51488175897225
18,264.02612301863564
19,263.1475653227921
20,263.9344549478085
21,258.05953116752244
22,253.90291368973263
23,250.8308410809148
24,246.09208361360524
