,value
1,278.2815224824262
2,278.6320808450583
3,275.8873410435172
4,275.46592443864347
5,276.5707418227032
6,280.872366645098
7,289.7508508146365
8,301.54068168643835
9,306.87722511591124
10,309.44839054252776
11,307.59014376022833
12,300.80582611448057
13,299.7288423669177
14,293.1514133260821
15,289.02620811890864
16,292.4987467409892
17,292.8782768464701
18,292.2851576852233
19,295.4857448927136
20,301.12710314430626
21,295.1222614538517
22,289.9858957054958
23,283.15849009252315
24,274.99349128021834
