hour,pressure_avg,sensor
0,4.9560550000,Sensor-1
1,4.9609375000,Sensor-1
2,5.0008138333,Sensor-1
3,5.0276693333,Sensor-1
4,4.9873861667,Sensor-1
5,4.9898275000,Sensor-1
6,4.9271646667,Sensor-1
7,4.8042805000,Sensor-1
8,4.6577961667,Sensor-1
9,4.8201496667,Sensor-1
10,4.7977701667,Sensor-1
11,4.7977703333,Sensor-1
12,4.8885093333,Sensor-1
13,4.9379882000,Sensor-1
14,5.0292968333,Sensor-1
15,5.1245118333,Sensor-1
16,5.0292968333,Sensor-1
17,4.8954265000,Sensor-1
18,4.6805828333,Sensor-1
19,4.5556638333,Sensor-1
20,4.5397948333,Sensor-1
21,4.6752928333,Sensor-1
22,4.7729492857,Sensor-1
23,5.0488283333,Sensor-1
0,7.1801758333,Sensor-2
1,7.1728516667,Sensor-2
2,7.2163088000,Sensor-2
3,7.2342938333,Sensor-2
4,7.1748861667,Sensor-2
5,7.1964518333,Sensor-2
6,7.1569825000,Sensor-2
7,7.0804850000,Sensor-2
8,7.0007323333,Sensor-2
9,7.1244301667,Sensor-2
10,7.0829266667,Sensor-2
11,7.1305338333,Sensor-2
12,7.1321615000,Sensor-2
13,7.1225586000,Sensor-2
14,7.2058106667,Sensor-2
15,7.2489420000,Sensor-2
16,7.2180175000,Sensor-2
17,7.2098793333,Sensor-2
18,7.0605468333,Sensor-2
19,7.0699055000,Sensor-2
20,7.1053058333,Sensor-2
21,7.1480305000,Sensor-2
22,7.1801756667,Sensor-2
23,7.2924805000,Sensor-2
0,6.0864258333,Sensor-3
1,6.0339353333,Sensor-3
2,6.1071778333,Sensor-3
3,6.1018881667,Sensor-3
4,6.0681155000,Sensor-3
5,6.0087078333,Sensor-3
6,5.9619141667,Sensor-3
7,5.9061688333,Sensor-3
8,5.7998046000,Sensor-3
9,6.0550945000,Sensor-3
10,6.0237630000,Sensor-3
11,6.0327150000,Sensor-3
12,6.1267088333,Sensor-3
13,6.1018881667,Sensor-3
14,6.1450195000,Sensor-3
15,6.2246092000,Sensor-3
16,6.2019858333,Sensor-3
17,6.1446126667,Sensor-3
18,6.0139973333,Sensor-3
19,5.9883625000,Sensor-3
20,6.0139975000,Sensor-3
21,6.0762530000,Sensor-3
22,6.0799156667,Sensor-3
23,6.2451171667,Sensor-3
0,6.5104168333,Sensor-4
1,6.4912923333,Sensor-4
2,6.5417481667,Sensor-4
3,6.5543621667,Sensor-4
4,6.5140788333,Sensor-4
5,6.5071615000,Sensor-4
6,6.4326985000,Sensor-4
7,6.3736980000,Sensor-4
8,6.3155110000,Sensor-4
9,6.4648440000,Sensor-4
10,6.4538575000,Sensor-4
11,6.4253743333,Sensor-4
12,6.5063476667,Sensor-4
13,6.4656575000,Sensor-4
14,6.5893553333,Sensor-4
15,6.5649416667,Sensor-4
16,6.5804036667,Sensor-4
17,6.4896648333,Sensor-4
18,6.3907876667,Sensor-4
19,6.4009605000,Sensor-4
20,6.4152018333,Sensor-4
21,6.4294433333,Sensor-4
22,6.5030923333,Sensor-4
23,6.6569010000,Sensor-4
0,6.3057453333,Sensor-5
1,6.2687175000,Sensor-5
2,6.3065591667,Sensor-5
3,6.2813315000,Sensor-5
4,6.2866210000,Sensor-5
5,6.2931313333,Sensor-5
6,6.2451171667,Sensor-5
7,6.2109375000,Sensor-5
8,6.1075846667,Sensor-5
9,6.2166341667,Sensor-5
10,6.1751303333,Sensor-5
11,6.1482745000,Sensor-5
12,6.2593588333,Sensor-5
13,6.2259928333,Sensor-5
14,6.2141928333,Sensor-5
15,6.2447101667,Sensor-5
16,6.2109378333,Sensor-5
17,6.1824545000,Sensor-5
18,6.0469563333,Sensor-5
19,6.1287435000,Sensor-5
20,6.2056478333,Sensor-5
21,6.2715656667,Sensor-5
22,6.2841796667,Sensor-5
23,6.3391113333,Sensor-5
0,4.777356445516631,Sensor-6
1,4.815321553911097,Sensor-6
2,4.847121651617335,Sensor-6
3,4.871468924544395,Sensor-6
4,4.855984258338908,Sensor-6
5,4.818968466158334,Sensor-6
6,4.749970593003663,Sensor-6
7,4.660950573848159,Sensor-6
8,4.532261503670624,Sensor-6
9,4.66660834972743,Sensor-6
10,4.651345912990614,Sensor-6
11,4.619685902444536,Sensor-6
12,4.732506257861901,Sensor-6
13,4.7737096619882005,Sensor-6
14,4.862265294685086,Sensor-6
15,4.9483303914446,Sensor-6
